cat_id,order,text,alternative_text,url,parent_id,recs,recs_oak,show
3523,1,Housing,,,1,6,,
5320,1,Shelter and Homeless Resources,,,2,8,,checked
5321,1,Utility Assistance,,,3,2,,
3493,1,Food,,,4,4,,checked
5322,1,Physical Health,,,5,9,,checked
5566,1,Mental Wellness,,,6,17,,checked
5323,1,Substance Abuse,Substance Use Disorder,,7,4,,checked
5324,1,Legal Assistance,,,8,17,,checked
5325,1,Employment Assistance,,,9,4,,
5326,1,Financial Assistance and Public Benefits,Rental Assistance,,10,9,,checked
5328,1,Military and Veteran Resources,,,11,11,,
5327,1,Senior Resources,,,12,15,,
5329,1,Child and Youth Resources,,,13,40,,
5506,1,Accessibility and Independent Living,,,14,2,,
5330,1,OTHER SPECIALIZED RESOURCE PORTALS,,,15,4,,
50000,1,Personal Services,,,16,,,checked
3524,2,Alameda County Housing Choices,,http://achousingchoices.org,3523,,,
5335,2,Housing Resources for People Living with HIV,,http://edenir.org/ahip-resources/,3523,,,
5543,2,Low Cost Home Rental Listings,,,3523,,,
5544,2,Senior Housing Information and Referral,,,3523,,,
5545,2,Housing Issues and Counseling,,,3523,,,
5546,2,Residential Housing Options,,,3523,,,
5547,2,Extreme Weather Shelters,,,5320,5,,checked
5548,2,Domestic Violence Shelters,,,5320,9,,checked
5550,2,Homeless Shelter,,,5320,24,,checked
5551,2,Transitional Housing/Shelter,,,5320,36,,checked
5552,2,Personal/Grooming Supplies,,,50000,8,,checked
5553,2,Laundry Facilities,,,50000,10,,checked
5554,2,Temporary Mailing Address,,,50000,3,,checked
5555,2,Mobile Healthcare,,,5320,0,,
5559,2,Utility Bill Payment Plans,,,5321,,,
5560,2,Discounted Utility Services,,,5321,,,
3521,2,WIC,,,3493,10,,checked
3522,2,Food Stamps/SNAP Applications,,,3493,11,,checked
5556,2,Food Pantries,,,3493,50,,checked
5557,2,Brown Bag Food Programs,,,3493,20,,checked
5567,2,Outpatient Health Facilities,,,5322,50,,checked
5568,2,Health Care Discount Enrollment Programs,,,5322,11,,checked
5569,2,Medical Care Expense Assistance,,,5322,2,,checked
5570,2,Hospitals,,,5322,22,,checked
5571,2,Community Clinics,,,5322,20,,checked
5572,2,Physician Referral,,,5322,4,,checked
5587,2,Domestic Violence Hotlines,,,5322,9,,checked
5672,2,Pregnant Women,,,5322,,,
6005,2,Resources for People Living with HIV,,http://edenir.org/ahip-resources/,5322,,,
5573,2,Crisis Counseling,,,5566,50,,checked
5574,2,General Crisis Intervention Hotlines,,,5566,5,,checked
5575,2,Suicide Prevention Crisis Intervention Hotlines,,,5566,5,,checked
5576,2,Human Trafficking Crisis Intervention Hotlines,,,5566,4,,checked
5577,2,Adult Rape Survivors,,,5566,1,,checked
5578,2,Mental Health Evaluation,,,5566,45,,checked
5579,2,Psychiatric Disorders,,,5566,24,,checked
5580,2,Adult Psychiatric Hospitals,,,5566,6,,checked
5581,2,Mental Health Evaluation for Children,,,5566,0,,
5582,2,Geriatric Mental Illness Counseling,,,5566,0,,
5583,2,Outpatient Behavioral Health Facilities,,,5566,3,,checked
5584,2,Mutual Support Groups,,,5566,50,,checked
5585,2,Domestic Violence Support Groups,,,5566,13,,checked
5586,2,Domestic Violence Hotlines,,,5566,9,,checked
5588,2,General Bereavement Support Groups,,,5566,4,,checked
5590,2,Smoking/Vaping Quitting Support,,,5566,9,,checked
6006,2,LGBTQ Support Groups,,,5566,10,,checked
5561,2,Assessment for Substance Abuse,Assessment for Substance Use Disorder,,5323,8,,checked
5562,2,Chemical Dependency Treatment Programs,,,5323,50,,checked
5563,2,Alcholism Treatment Programs,,,5323,50,,checked
5564,2,Substance Abuse Treatment Programs,Substance Use Treatment Programs,,5323,50,,checked
5591,2,General Benefits Assistance,,,5324,,,checked
5592,2,Immigrant Benefits Assistance,,,5324,,,checked
5593,2,Pension Benefits Assistance,,,5324,,,checked
5594,2,Protection and Advocacy for Individuals with Disab...,,,5324,,,checked
5595,2,Unemployment Insurance Benefits Assistance,,,5324,,,checked
5596,2,Public/Subsidized Housing Appeals Assistance,,,5324,,,checked
