key,id,name,organization_id,organization_name,client_id,status,description,phone_number,website,culture_code,alternate_name,address,city,state_province,postal_code,city (from Postal_Code),latitude,longitude,coordinates/0,coordinates/1,coordinates/2,coordinates/3,coordinates/4,coordinates/5,resource_type,category,parent_id (from Category),id2,OAK? (from Resources_OAK),city_id,city_id_old,neighborhood_id,name (from Neighborhood),geocode_neighborhood,last_scraped
38898921en,38898921,NATIVE AMERICAN HEALTH CENTER - OAKLAND,,,2376,ACTIVE,"Provides a full range of community health care and prevention services. Provides primary medical care including perinatal and pediatric services, comprehensive dental care, family guidance counseling, confidential HIV testing, pre- and post-test counseling and referrals to community agencies, youth services, nutrition program including WIC, and fitness center. Maintains a satellite clinic at Alameda Point, serves a school-based clinic in Alameda.",510-434-5300,www.nativehealth.org,en,,1151 Harbor Bay Parkway,Alameda,California,94502,Oakland,37.738388,-122.242241,"37.778403, -122.216989","37.78469, -122.29918","37.738388, -122.242241",,,,Agency,5571,5322,38898921,1 checked out of 1,1,6,,,,2020-07-04 21:48:27
38903420en,38903420,CalFresh,38899191,ALAMEDA COUNTY SOCIAL SERVICES AGENCY WORKFORCE AND BENEFITS ADMINISTRATION,2376,ACTIVE,"<span style=""color:#FF0000""><span style=""font-size:12px"">Note:&nbsp;</span>Pandemic EBT. Pandemic EBT (P-EBT) benefits will be available for eligible California families. Due to Coronavirus (COVID-19), children who are eligible for free or reduced-price meals at school will get extra food benefits. </span><ul>	<li><span style=""color:#FF0000"">Families with children who applied for CalFresh and MediCal will automatically get a P-EBT in the mail by May 8th.</span></li>	<li><span style=""color:#FF0000"">Families with children eligible for Free or Reduced meals that do not receive a P-EBT in the mail&nbsp;by about May 25</span></li>	<li><span style=""color:#FF0000"">&nbsp;Families should look out for a message from their school district or local community-based organization (us) about how to apply in Mid to late May.</span></li>	<li><span style=""color:#FF0000"">Eligible families can apply for P-EBT here beginning on May 22: https://ca.p-ebt.org/<br />	• Eligible families can access the P-EBT information page here beginning now: https://ca.p-ebt.org/info</span></li>	<li><span style=""color:#FF0000"">The P-EBT benefit amount is equal to the daily federal reimbursement rate for free breakfast and lunch multiplied by the average number of days schools were closed each month for each eligible child. California has been approved to provide benefits for all school days from March 16th through June 12th, 2020. Based on the federal per diem reimbursement for free breakfast of $2.20 and lunch of $3.50, the daily P-EBT benefit will be $5.70.</span></li>	<li><span style=""color:#FF0000"">Online Application Closes: June 30, 2020</span></li></ul><span style=""color:#FF0000"">**P-EBT is not the same as or a replacement for CalFresh benefits. P-EBT is a separate food benefit that will be provided to eligible CalFresh and non-CalFresh households with children who may have temporarily lost access to FRP meals. P-EBT will have no bearing on CalFresh eligibility.**</span><br /><span style=""color:#FF0000"">Posted: 5-1-2020 3:04pm SMR. Updated 5-8-2020</span><br /><br /><span style=""color:#FF0000""><span style=""font-size:12px"">NOTE: </span><br /><span style=""font-family:calibri,sans-serif; font-size:11.0pt"">If you have a change in income, even a temporary one because of the coronavirus, you can apply for CalFresh food benefits.</span></span><br /><span style=""font-family:calibri,sans-serif; font-size:11.0pt""><span style=""color:#FF0000"">To apply, visit&nbsp;</span><a href=""https://www.getcalfresh.org/?source=bing&amp;msclkid=301e7a66287614f3b0e424e9754f0710"" target=""_blank""><span style=""color:#FF0000"">CalFresh</span></a><span style=""color:#FF0000"">&nbsp;online or call&nbsp;</span></span><strong><span style=""font-family:calibri,sans-serif; font-size:11.0pt""><a href=""tel:[1-877-847-3663]"" target=""_blank""><span style=""color:#FF0000"">1-877-847-3663</span></a><span style=""color:#FF0000""> </span></span></strong><span style=""color:#FF0000""><span style=""font-family:calibri,sans-serif; font-size:11.0pt"">(</span><strong><span style=""font-family:calibri,sans-serif; font-size:11.0pt"">1-877-847-FOOD</span></strong><span style=""font-family:calibri,sans-serif; font-size:11.0pt"">). </span></span><br /><span style=""font-family:calibri,sans-serif; font-size:11.0pt""><span style=""color:#FF0000"">Beginning April 28, people getting CalFresh food benefits can </span><a href=""https://www.cdss.ca.gov/ebt-online"" target=""_blank""><span style=""color:#FF0000""> use their EBT card to buy groceries</span></a><span style=""color:#FF0000""> online at Amazon and Walmart statewide. See </span><a href=""https://www.cdss.ca.gov/Portals/9/CalFresh/EBTOnline/EBT-Online-FAQ-Sheet-En.pdf"" target=""_blank""><span style=""color:#FF0000""> frequently asked questions about using EBT online</span></a><span style=""color:#FF0000"">.</span></span><br /><span style=""color:#FF0000"">Posted 4/28/2020, <span style=""font-size:12px"">5:00 PM, pg<br /><br />NOTE: &nbsp;COVID-19 Emergency Allotment (EA) for CalFresh households<br />&nbsp;Amount of EA will vary by household and possibly by month to bring the total household benefit amount to the maximum benefit amount allowed under program regulations<br />Households already receiving the maximum benefit amount will NOT be eligible for the EA<br />Two EA scheduled for April 11, 2020, for eligible households that received CalFresh in March and May 10, 2020, for eligible households that received CalFresh in April<br />EA will be automatically loaded to EBT accounts if eligible<br />New applicants encouraged to submit their application as soon as possible to qualify for May 10, 2020, EA<br />Semi-Annual (SAR 7) or Annual Recertification/Redetermination due in March, April, or May 2020 will NOT be required at this time.<br />Interviews for these months will NOT be required<br />Benefits will continue uninterrupted<br />Changes in income can increase benefits<br />Contact Alameda County Social Services Agency to report changes<br />*<span style=""font-family:arial,helvetica,sans-serif"">MyBenefits CalWIN experiencing extremely high volume of users.&nbsp; Off peak hours are typically before 11am and after 3pm.&nbsp; New applicants encouraged to apply online www.BenefitsCalWIN.org or www.GetCalFresh.org or by phone 510-263-2420 or 1-888-999-4772</span></span><span style=""font-size:14px""><span style=""font-family:arial,helvetica,sans-serif""><span style=""font-size:12px"">.<br />Posted: 4/23/2020, 11:32 AM, ar</span><br /><br />NOTE: </span>CalFresh Emergency Allotments:<br />• California has been approved to provide emergency allotments to eligible households for two months, March and April 2020. Emergency allotments will raise each household’s regular monthly CalFresh allotment to the maximum allowable allotment based on household size.<br />• The March increase allotment will be distributed mid-April 2020 and April increase allotment will be distributed in May 2020.<br />Posted 4/7/2020, 11:49 AM, pg</span><br /><br /><span style=""font-size:14px""><span style=""font-family:arial,helvetica,sans-serif"">NOTE: Attention: All Alameda County CalWORKs, CalFresh, Medi-Cal and General Assistance Recipients In response to COVID-19 (Coronavirus), if your CalWORKs, CalFresh, and/or General Assistance(GA)Semi-Annual Report (SAR 7) or annual renewal is due in March, April, or May 2020, you do not have to turn in the reports or complete your interview for these months.<br />Posted 4/6/2020, 9:55 AM, pg</span></span></span><br /><br /><span style=""font-size:14px""><span style=""font-family:arial,helvetica,sans-serif""><span style=""color:#FF0000"">NOTE: <strong>Lobbies are Temporarily Closed to Help Prevent the Spread of COVID-19</strong>. The below Alameda County Social Services Agency office lobbies are currently closed. We will continue to provide essential services. Clients who are receiving or wish to apply for Medi-Cal, CalFresh, CalWORKs, Refugee Cash Assistance, and General Assistance may use available <strong>telephone, fax, mail, and online services</strong>. Applications, renewals, documents, and reports can be submitted for most programs online at </span><a href=""https://www.alamedasocialservices.org/public/contact_us/www.MyBenefitsCalWIN.org""><span style=""color:#FF0000"">www.MyBenefitsCalWIN.org</span></a><span style=""color:#FF0000"">. You may also submit information by fax at 510-670-5095 or by mail at P.O. Box 12941, Oakland, CA 94604.<br /><br />During the temporary closure, limited in-person access will be available for the following:</span></span></span><ul>	<li><span style=""font-size:14px""><span style=""font-family:arial,helvetica,sans-serif""><span style=""color:#FF0000"">Emergency Electronic Benefit Transfer (EBT) Card/ Benefits Identification Card (BIC) or check pick-up</span></span></span></li>	<li><span style=""font-size:14px""><span style=""font-family:arial,helvetica,sans-serif""><span style=""color:#FF0000"">Homeless mail pick-up</span></span></span></li>	<li><span style=""font-size:14px""><span style=""font-family:arial,helvetica,sans-serif""><span style=""color:#FF0000"">Cash Assistance Program for Immigrants (CAPI) Applications</span></span></span></li>	<li><span style=""font-size:14px""><span style=""font-family:arial,helvetica,sans-serif""><span style=""color:#FF0000"">Clients who do not have access to a telephone and need to comply with a required program interview</span></span></span></li></ul><span style=""font-size:14px""><span style=""font-family:arial,helvetica,sans-serif""><span style=""color:#FF0000"">Applications will continue to be available at offices in designated areas for all benefit programs, and community members may complete, sign and return documents for processing using a secure drop box during regular business hours, 8:30 a.m. to 5:00 p.m. </span><a href=""https://www.alamedasocialservices.org/public/contact_us/docs/Application_Forms_with_links_publicWebsite.docx""><span style=""color:#FF0000"">Application Forms With Links<br /><br /><br />CLOSED LOBBIES</span></a></span></span><table style=""height:148px; width:526px"">	<tbody>		<tr>			<td><span style=""font-size:14px""><span style=""font-family:arial,helvetica,sans-serif""><span style=""color:#FF0000"">North Oakland Self-Sufficiency Center</span></span></span></td>			<td><span style=""font-size:14px""><span style=""font-family:arial,helvetica,sans-serif""><span style=""color:#FF0000"">2000 San Pablo Ave Oakland, CA 94612</span></span></span></td>		</tr>		<tr>			<td><span style=""font-size:14px""><span style=""font-family:arial,helvetica,sans-serif""><span style=""color:#FF0000"">Eastmont Self-Sufficiency Center</span></span></span></td>			<td><span style=""font-size:14px""><span style=""font-family:arial,helvetica,sans-serif""><span style=""color:#FF0000"">6955 Foothill Blvd Suite 100 Oakland, CA 94605</span></span></span></td>		</tr>		<tr>			<td><span style=""font-size:14px""><span style=""font-family:arial,helvetica,sans-serif""><span style=""color:#FF0000"">Enterprise Self-Sufficiency Center</span></span></span></td>			<td><span style=""font-size:14px""><span style=""font-family:arial,helvetica,sans-serif""><span style=""color:#FF0000"">8477 Enterprise Way Oakland, CA 94621</span></span></span></td>		</tr>		<tr>			<td><span style=""font-size:14px""><span style=""font-family:arial,helvetica,sans-serif""><span style=""color:#FF0000"">Eden Area Multi-Service Center</span></span></span></td>			<td><span style=""font-size:14px""><span style=""font-family:arial,helvetica,sans-serif""><span style=""color:#FF0000"">24100 Amador St Hayward, CA 94544</span></span></span></td>		</tr>		<tr>			<td><span style=""font-size:14px""><span style=""font-family:arial,helvetica,sans-serif""><span style=""color:#FF0000"">Fremont Office</span></span></span></td>			<td><span style=""font-size:14px""><span style=""font-family:arial,helvetica,sans-serif""><span style=""color:#FF0000"">39155 Liberty St. Suite C330 Fremont, CA 94536</span></span></span></td>		</tr>		<tr>			<td><span style=""font-size:14px""><span style=""font-family:arial,helvetica,sans-serif""><span style=""color:#FF0000"">Livermore Office</span></span></span></td>			<td><span style=""font-size:14px""><span style=""font-family:arial,helvetica,sans-serif""><span style=""color:#FF0000"">2481 Constitution Dr. Suite B Livermore, CA 94551</span></span></span></td>		</tr>	</tbody></table><span style=""font-size:14px""><span style=""font-family:arial,helvetica,sans-serif""><span style=""color:#FF0000"">&nbsp;Posted 3/24/2020, 3:50 PM, pg</span></span></span><br /><br /><br /><span style=""font-size:14px"">Provides a monthly benefit allotment to eligible low-income individuals and families to purchase healthy and nutritious food. If qualified, applicants will receive benefits within 30 days from the date the application is received by the county through an EBT card . EBT consumers are not to be charged for shopping bags in grocery stores</span>.&nbsp;<br /><br /><strong>Call 1-877-847-3663 (FOOD)<br />Come in/find an office<br />at</strong> <a href=""http://CalFreshFood.org"">CalFreshFood.org</a><br /><br /><u><strong>NOTE: Expansion of CalFresh to SSI/SSP Recipients!</strong></u><br />Beginning June 1, 2019, recipients of SSI/SSP benefits may be eligible for CalFresh Food benefits. There is no change to the SSI/SSP monthly benefit. To learn about this policy change, and information on how SSI recipients may apply for CalFresh Food benefits, visit&nbsp;<a href=""http://www.calfreshfood.org/"" target=""_blank"">CalFreshFood.org</a><br />&nbsp;",888-999-4772,www.alamedasocialservices.org,en,SNAP,,,,,,37.526811,-121.964908,"37.526811, -121.964908","37.681214, -121.751912","37.755967, -122.188088","37.633771, -122.061914","37.81018, -122.269073","37.762734, -122.157057",Program,3522,3493,38903420,1 checked out of 1,1,,,,,2020-07-04 21:47:55
38903421en,38903421,General Assistance (GA),38899191,ALAMEDA COUNTY SOCIAL SERVICES AGENCY WORKFORCE AND BENEFITS ADMINISTRATION,2376,ACTIVE,"<span style=""color:#FF0000""><span style=""font-family:arial,helvetica,sans-serif""><span style=""font-size:14px"">NOTE: </span></span>The Agency continues to provide essential services—Adult and Aging Programs, In-Home Supportive Services, Children and Family Services, CalFresh, CalWORKs, General Assistance, Refugee Cash Assistance, Cash Assistance Programs for Immigrants (CAPI) and Medi-Cal. The use of telephone, mail, and online services is encouraged for customers and those needing to apply for benefits and services.<br /><br />ACSSA staff will remain onsite during regular business hours, Monday-Friday from 8:30AM to 5:00PM, to provide limited services:<br />• Adult and Aging Protection Services<br />• Children and Family Services<br />• Emergency Electronic Benefit Transfer (EBT) cards and Medi-Cal Benefits Identification Cards (BIC)<br />• Assistance checks and homeless mail pick-up<br />• Application packets for all programs are available for pick-up<br />• Application and document drop-off<br />• Application interviews or mental health assessments for clients who do not have access to a telephone will be scheduled for in-person meetings<br /><br />State and federal government partner agencies have waived some reporting requirements to ensure that clients will continue to receive benefits. The following information is a brief overview of the updated changes:<br />CalFresh, CalWORKs, General Assistance (GA), or CAPI:<br />• Semi-Annual Reports (SAR-7s) and renewals have been waived for the months of March, April, and May 2020.<br />• Recipients do not need to submit a SAR-7 or a recertification/renewal packet.<br />2 |Clients do not need to call our office as your benefits will continue without interruption.<br />• Clients recertification/renewal will be due six (6) months from your original due date.<br />• Clients will receive a notification letter informing you when your next recertification/renewal is due. For example, if your recertification/renewal packet was due in April 2020, it will not be due until October 2020.<br />• Individuals should resume submitting the SAR-7s and renewals beginning June 2020.<br />• If your income goes down at any time, your benefit amount may go up. You may report changes via mail to P.O. Box 12941, Oakland, CA 94604; Fax to 510-670-5095; online through the Customer Automated Response System (CARS) at https://public.alamedasocialservices.org/CARS; LaterDocs at www.GetCalFresh.org/docs; or at 1-888-999-4772 or 510-263-2420, Monday through Friday, from 7:30 AM to 5:00 PM.<br />• CalWORKs Welfare-to-Work, Refugee Cash Assistance, and CalFresh Employment and Training program participation requirements have been waived until further notice. Employment Services staff are continuing to provide case management services over the phone, including connecting clients to online employment and training resources and supportive services.<br />For benefit applicants:<br />• Applications can be submitted for all programs via fax, mail, or drop-off.<br />• CalWORKs and CalFresh applications can be submitted online at www.mybenefitscalwin.org and CalFresh applications at www.GetCalFresh.org or via telephone at 1-888-999-4772 or 510-263-2420, Monday through Friday, from 7:30 a.m. to 5:00 p.m.<br />• Application forms for all programs can be found at https://alamedasocialservices.org/public/contact_us/Covid19.cfm<br />• CalFresh intake interviews have been waived when the applicant submits all mandatory verifications.<br />• CalWORKs, GA, Refugee Cash Assistance, and the Cash Assistance Program for Immigrants (CAPI) application interviews are now being offered over the phone and the face-to-face requirement has been waived.<br />• GA mental health assessments and Social Worker meetings are now being conducted over the phone.<br />• All GA applicants and recipients that claim to have a temporary or permanent/persistent condition that prevents them from working will be given an extension of 90 days from March 16, 2020 to be able to provide the required documentation.<br />• Clients may apply for CalWORKs Homeless Assistance over the phone and CalWORKs Homeless Assistance payments are now issued via Electronic Benefits Transfer (EBT).Posted 4/7/2020, 11:41 AM, pg</span><br /><br /><br />Offers a State-mandated, county-funded program that aids indigent adults that have no other means of support. All GA aid is considered a loan; applicants and recipients must sign a reimbursement agreement as a condition of eligibility. Also provides up to 90 days of shelter assistance for homeless GA recipients through a voucher program.&nbsp;<br /><br /><span style=""font-size:14px""><span style=""font-family:arial,helvetica,sans-serif""><span style=""color:#FF0000"">NOTE: <strong>Lobbies are Temporarily Closed to Help Prevent the Spread of COVID-19</strong>. The below Alameda County Social Services Agency office lobbies are currently closed. We will continue to provide essential services. Clients who are receiving or wish to apply for Medi-Cal, CalFresh, CalWORKs, Refugee Cash Assistance, and General Assistance may use available <strong>telephone, fax, mail, and online services</strong>. Applications, renewals, documents, and reports can be submitted for most programs online at </span><a href=""https://www.alamedasocialservices.org/public/contact_us/www.MyBenefitsCalWIN.org""><span style=""color:#FF0000"">www.MyBenefitsCalWIN.org</span></a><span style=""color:#FF0000"">. You may also submit information by fax at 510-670-5095 or by mail at P.O. Box 12941, Oakland, CA 94604.<br /><br />During the temporary closure, limited in-person access will be available for the following:</span></span></span><ul>	<li><span style=""font-size:14px""><span style=""font-family:arial,helvetica,sans-serif""><span style=""color:#FF0000"">Emergency Electronic Benefit Transfer (EBT) Card/ Benefits Identification Card (BIC) or check pick-up</span></span></span></li>	<li><span style=""font-size:14px""><span style=""font-family:arial,helvetica,sans-serif""><span style=""color:#FF0000"">Homeless mail pick-up</span></span></span></li>	<li><span style=""font-size:14px""><span style=""font-family:arial,helvetica,sans-serif""><span style=""color:#FF0000"">Cash Assistance Program for Immigrants (CAPI) Applications</span></span></span></li>	<li><span style=""font-size:14px""><span style=""font-family:arial,helvetica,sans-serif""><span style=""color:#FF0000"">Clients who do not have access to a telephone and need to comply with a required program interview</span></span></span></li></ul><span style=""font-size:14px""><span style=""font-family:arial,helvetica,sans-serif""><span style=""color:#FF0000"">Applications will continue to be available at offices in designated areas for all benefit programs, and community members may complete, sign and return documents for processing using a secure drop box during regular business hours, 8:30 a.m. to 5:00 p.m. </span><a href=""https://www.alamedasocialservices.org/public/contact_us/docs/Application_Forms_with_links_publicWebsite.docx""><span style=""color:#FF0000"">Application Forms With Links<br /><br /><br />CLOSED LOBBIES</span></a></span></span><table style=""height:148px; width:526px"">	<tbody>		<tr>			<td><span style=""font-size:14px""><span style=""font-family:arial,helvetica,sans-serif""><span style=""color:#FF0000"">North Oakland Self-Sufficiency Center</span></span></span></td>			<td><span style=""font-size:14px""><span style=""font-family:arial,helvetica,sans-serif""><span style=""color:#FF0000"">2000 San Pablo Ave Oakland, CA 94612</span></span></span></td>		</tr>		<tr>			<td><span style=""font-size:14px""><span style=""font-family:arial,helvetica,sans-serif""><span style=""color:#FF0000"">Eastmont Self-Sufficiency Center</span></span></span></td>			<td><span style=""font-size:14px""><span style=""font-family:arial,helvetica,sans-serif""><span style=""color:#FF0000"">6955 Foothill Blvd Suite 100 Oakland, CA 94605</span></span></span></td>		</tr>		<tr>			<td><span style=""font-size:14px""><span style=""font-family:arial,helvetica,sans-serif""><span style=""color:#FF0000"">Enterprise Self-Sufficiency Center</span></span></span></td>			<td><span style=""font-size:14px""><span style=""font-family:arial,helvetica,sans-serif""><span style=""color:#FF0000"">8477 Enterprise Way Oakland, CA 94621</span></span></span></td>		</tr>		<tr>			<td><span style=""font-size:14px""><span style=""font-family:arial,helvetica,sans-serif""><span style=""color:#FF0000"">Eden Area Multi-Service Center</span></span></span></td>			<td><span style=""font-size:14px""><span style=""font-family:arial,helvetica,sans-serif""><span style=""color:#FF0000"">24100 Amador St Hayward, CA 94544</span></span></span></td>		</tr>		<tr>			<td><span style=""font-size:14px""><span style=""font-family:arial,helvetica,sans-serif""><span style=""color:#FF0000"">Fremont Office</span></span></span></td>			<td><span style=""font-size:14px""><span style=""font-family:arial,helvetica,sans-serif""><span style=""color:#FF0000"">39155 Liberty St. Suite C330 Fremont, CA 94536</span></span></span></td>		</tr>		<tr>			<td><span style=""font-size:14px""><span style=""font-family:arial,helvetica,sans-serif""><span style=""color:#FF0000"">Livermore Office</span></span></span></td>			<td><span style=""font-size:14px""><span style=""font-family:arial,helvetica,sans-serif""><span style=""color:#FF0000"">2481 Constitution Dr. Suite B Livermore, CA 94551</span></span></span></td>		</tr>	</tbody></table><span style=""font-size:14px""><span style=""font-family:arial,helvetica,sans-serif""><span style=""color:#FF0000"">&nbsp;Posted 3/24/2020, 3:50 PM, pg</span></span></span>",888-999-4772,www.alamedasocialservices.org,en,,,,,,,37.526811,-121.964908,"37.633771, -122.061914","37.81018, -122.269073","37.762734, -122.157057","37.526811, -121.964908","37.681214, -121.751912",,Program,5551,5320,38903421,1 checked out of 1,1,,,,,2020-07-04 21:47:28
38903442en,38903442,American Lung Association Lung HelpLine,38898454,AMERICAN LUNG ASSOCIATION OF CALIFORNIA ,2376,ACTIVE,"Provides education, materials, services and consultation to individuals, agencies and organizations. Major program areas are:<ul>	<li>prevention and control of lung disease</li>	<li>tobacco cessation and education</li>	<li>air conservation</li></ul>occupational hazards to the lung and smoke-free housing<br />Information and education on lung disease and smoking<br />Case management services for families with young person age 11-18, who has unmanaged or under-managed asthma.&nbsp;Registered nurses, respiratory therapists, certified tobacco treatment specialists and a pharmacist make up&nbsp;their helpline staff. They are ready to assist with your lung health questions. Get detailed and accurate information about:<ul>	<li>lung cancer</li>	<li>asthma</li>	<li>COPD</li>	<li>quitting tobacco</li>	<li>multiple other lung health topics</li></ul>",510-638-5864,www.lung.org/california,en,,,,California,,,37.755967,-122.188088,"37.755967, -122.188088",,,,,,Program,5563,5323,38903442,1 checked out of 1,1,,,,,2020-07-04 21:49:53
38903442en,38903442,American Lung Association Lung HelpLine,38898454,AMERICAN LUNG ASSOCIATION OF CALIFORNIA ,2376,ACTIVE,"Provides education, materials, services and consultation to individuals, agencies and organizations. Major program areas are:<ul>	<li>prevention and control of lung disease</li>	<li>tobacco cessation and education</li>	<li>air conservation</li></ul>occupational hazards to the lung and smoke-free housing<br />Information and education on lung disease and smoking<br />Case management services for families with young person age 11-18, who has unmanaged or under-managed asthma.&nbsp;Registered nurses, respiratory therapists, certified tobacco treatment specialists and a pharmacist make up&nbsp;their helpline staff. They are ready to assist with your lung health questions. Get detailed and accurate information about:<ul>	<li>lung cancer</li>	<li>asthma</li>	<li>COPD</li>	<li>quitting tobacco</li>	<li>multiple other lung health topics</li></ul>",510-638-5864,www.lung.org/california,en,,,,California,,,37.755967,-122.188088,"37.755967, -122.188088",,,,,,Program,5564,5323,38903442,1 checked out of 1,1,,,,,2020-07-04 21:49:58
38903442en,38903442,American Lung Association Lung HelpLine,38898454,AMERICAN LUNG ASSOCIATION OF CALIFORNIA ,2376,ACTIVE,"Provides education, materials, services and consultation to individuals, agencies and organizations. Major program areas are:<ul>	<li>prevention and control of lung disease</li>	<li>tobacco cessation and education</li>	<li>air conservation</li></ul>occupational hazards to the lung and smoke-free housing<br />Information and education on lung disease and smoking<br />Case management services for families with young person age 11-18, who has unmanaged or under-managed asthma.&nbsp;Registered nurses, respiratory therapists, certified tobacco treatment specialists and a pharmacist make up&nbsp;their helpline staff. They are ready to assist with your lung health questions. Get detailed and accurate information about:<ul>	<li>lung cancer</li>	<li>asthma</li>	<li>COPD</li>	<li>quitting tobacco</li>	<li>multiple other lung health topics</li></ul>",510-638-5864,www.lung.org/california,en,,,,California,,,37.755967,-122.188088,"37.755967, -122.188088",,,,,,Program,5562,5323,38903442,1 checked out of 1,1,,,,,2020-07-04 21:49:48
38903442en,38903442,American Lung Association Lung HelpLine,38898454,AMERICAN LUNG ASSOCIATION OF CALIFORNIA ,2376,ACTIVE,"Provides education, materials, services and consultation to individuals, agencies and organizations. Major program areas are:<ul>	<li>prevention and control of lung disease</li>	<li>tobacco cessation and education</li>	<li>air conservation</li></ul>occupational hazards to the lung and smoke-free housing<br />Information and education on lung disease and smoking<br />Case management services for families with young person age 11-18, who has unmanaged or under-managed asthma.&nbsp;Registered nurses, respiratory therapists, certified tobacco treatment specialists and a pharmacist make up&nbsp;their helpline staff. They are ready to assist with your lung health questions. Get detailed and accurate information about:<ul>	<li>lung cancer</li>	<li>asthma</li>	<li>COPD</li>	<li>quitting tobacco</li>	<li>multiple other lung health topics</li></ul>",510-638-5864,www.lung.org/california,en,,,,California,,,37.755967,-122.188088,"37.755967, -122.188088",,,,,,Program,5590,5566,38903442,1 checked out of 1,1,,,,,2020-07-04 21:49:35
38903501en,38903501,Breakfast and Food Giveaway Programs,38898508,BROOKINS AFRICAN METHODIST EPISCOPAL CHURCH ,2376,ACTIVE,"<span style=""color:#FF0000"">Notes: Program has been suspended until further notice. Posted 4-14-2020 11:42am SMR</span><br /><br />Serves breakfast to low-income residents of Oakland on the 2nd and 4th Saturday of each month, from 8-10. Offers food giveaway every 4th Monday, 10-12; call to confirm food giveaway date for December. 3rd Fridays of each month a food giveaway. 10 to 12 noon (This is a grant program thru the City of Oakland) Also provides limited food baskets at Thanksgiving and Christmas.",510-568-8954,,en,,2201 - 73rd Avenue,Oakland,California,94605,Oakland,37.762734,-122.157057,"37.762734, -122.157057",,,,,,Program,5556,3493,38903501,1 checked out of 1,1,1,8,Central East Oakland,Hegenberger,2020-07-04 21:48:00
38903508en,38903508,Psychological Services Center (PSC),38898514,CALIFORNIA SCHOOL OF PROFESSIONAL PSYCHOLOGY (CSPP) COMMUNITY SERVICES AND FIELD PLACEMENTS,2376,ACTIVE,"Provides individual, couple, family and group therapy for adults and children. Also provides psychological testing. Services are provided by supervised professional psychology students. Students work with under-served adult, child and family populations. Students also provide supervised psychodiagnostic and neuropsychological evaluation for those qualified.",510-628-9065,,en,,,,,,,37.81018,-122.269073,`,,,,,,Program,5578,5566,38903508,1 checked out of 1,1,,,,,2020-07-04 21:49:00
38903529en,38903529,Legal Immigration and Naturalization  - Deferred Action Information,38898532,CATHOLIC CHARITIES OF THE EAST BAY - CCEB,2376,ACTIVE,"<span style=""color:#FF0000"">NOTE: Our legal team continues to serve the immigrant community during this period of SIP.&nbsp; Our team is conducting FREE telephonic consultations from the safety of our homes.Call&nbsp;<span style=""font-family:arial,helvetica,sans-serif""><span style=""font-size:14px"">510.768.3100 </span></span>Posted 4/10/2020, 9:57 AM, pg</span><br /><br />Professional attorneys, staff, law school students and pro-bono attorneys offer legal counseling and services for low-income immigrants and refugees. They charge low fees for legal services. All inquiries and consultations are confidential.&nbsp; Legal services include, but are not limited to:&nbsp;Family Based Petitions; U-Visas for Crime Victims, VAWA; Consular Processing; Waivers; TPS; Naturalization; Deferred Action and Work Permit for DREAMers.<br /><br />Please call us for more information later in the month of March to determine when our clinics will resume.<br />Thank you for your understanding.<br />Stay well.<br /><br />&nbsp;",510-768-3100,www.cceb.org,en,,,,,,,37.806984,-122.286229,"37.60383, -122.02514","37.79939, -122.27918","37.806984, -122.286229",,,,Program,5601,5324,38903529,1 checked out of 1,1,,,,,2020-07-04 21:50:45
