key,id,name,postal_code,address,city,organization_id,organization_name,client_id,latitude,longitude,status,description,phone_number,website,culture_code,state_province,alternate_name,coordinates__001,coordinates__002,coordinates__003,coordinates__004,coordinates__005,coordinates__006,resource_type,category,parent_id (from Category),last_scraped,Field 29
38904215en,38904215,City of Alameda Warming Shelter - Opens December 2...,,,,38898854,BUILDING FUTURES WITH WOMEN AND CHILDREN,2376,,,ACTIVE,"<span style=""color:#FF0000"">Note: Winter shelter i...",510-201-0204,http://christchurchalameda.org/seasonal-warming-sh...,en,California,"Midway Shelter, Christ Episcopal Church","37.77115, -122.25596",,,,,,Program,5547,5320,2020-06-29 01:23:00,
53369289en,53369289,First Presbyterian Church of Hayward Winter Shelte...,,,,53369287,FIRST PRESBYTERIAN CHURCH,2376,,,ACTIVE,"<span style=""color:#FF0000"">NOTE: At FPCH the shel...",510-581-6203,www.firstpreshayward.com/,en,,FirstPres Warming Shelter,"37.68574, -122.07236",,,,,,Program,5547,5320,2020-06-29 01:23:00,
43907018en,43907018,Fremont Winter Shelter,,,,38898617,CITY OF FREMONT HUMAN SERVICES DEPARTMENT,2376,,,ACTIVE,<strong>Fremont Winter shelter is now closed.<br />...,510-574-2222,https://fremont.gov/2864/Warming-Center,en,,,"37.526811, -121.964908","37.5518, -121.97783",,,,,Program,5547,5320,2020-06-29 01:23:00,
38906333en,38906333,North County Winter Shelter Referral Program (OPEN...,,,,38898870,OPERATION DIGNITY INC,2376,37.806984,-122.286229,ACTIVE,"<span style=""color:#FF0000"">Note: Outreach teams a...",510-882-7941,,en,,,"37.78912, -122.22827","37.806984, -122.286229",,,,,Program,5547,5320,2020-06-29 01:23:00,
38907023en,38907023,Winter Shelter,,,,38898872,SOUTH HAYWARD PARRISH,2376,,,ACTIVE,"<br /><span style=""font-size:14px""><span style=""co>""...",510-785-3663,southhaywardparish.org,en,,,"37.63378, -122.07981",,,,,,Program,5547,5320,2020-06-29 01:23:00,
38904892en,38904892,24 Hour Emergency Shelter Program (Twenty-four),,,,38898936,24 HOUR OAKLAND PARENT TEACHER CHILDREN CENTER,2376,37.7729273,-122.2143323,ACTIVE,SHELTER ADDRESS IS CONFIDENTIAL AND THEREFORE NOT ...,510-534-6030,http://www.24hourcenter.com,en,California,,"37.72792, -122.202965","37.7729273, -122.2143323",,,,,Program,5548,5320,2020-06-29 01:23:00,
38905021en,38905021,24-Hour Mobile Response Team (MRT),,,,38898613,FAMILY VIOLENCE LAW CENTER,2376,37.81018,-122.269073,ACTIVE,"<span style=""color:#FF0000""><strong>NOTE: Hotline ...",800-947-8301,www.fvlc.org,en,,,"37.81018, -122.269073",,,,,,Program,5548,5320,2020-06-29 01:23:00,
38907080en,38907080,Domestic Violence Shelter - Women with Children (b...,,,,38899779,CHEST OF HOPE,2376,37.73275,-121.421978,ACTIVE,Provides a domestic violence shelter located in Sa...,209-831-7889,www.chestofhope.org,en,,,"37.73934, -121.42432","37.73275, -121.421978",,,,,Program,5548,5320,2020-06-29 01:23:00,
38904857en,38904857,Emergency Shelter,,,,38898902,SAFE ALTERNATIVES TO VIOLENT ENVIRONMENTS (SAVE),2376,,,ACTIVE,"SAVE's 30-bed shelter offers a safe home, for up t...",510-794-6055,www.save-dv.org,en,,,"37.5562, -122.01457",,,,,,Program,5548,5320,2020-06-29 01:23:00,
38904108en,38904108,Emergency Shelter,,,,38898997,A SAFE PLACE - DOMESTIC VIOLENCE SERVICES,2376,,,ACTIVE,"<span style=""color:#FF0000"">Note: All services are...",510-536-7233,www.asafeplacedvs.org,en,California,,"37.80928, -122.29923",,,,,,Program,5548,5320,2020-06-29 01:23:00,
38904814en,38904814,Rape Crisis Services,,,,38898805,TRI-VALLEY HAVEN,2376,37.729225,-121.691025,ACTIVE,Provides crisis intervention and advocacy services...,925-449-5845,www.trivalleyhaven.org,en,,,"37.729225, -121.691025",,,,,,Program,5548,5320,2020-06-29 01:23:00,
38903580en,38903580,Ruby's Shelter,,,,38898602,RUBYS PLACE INC,2376,,,ACTIVE,"<span style=""color:#FF0000"">Note: Program is curre...",510-786-1246,www.rubysplace.org,en,,,"37.63601, -122.10587",,,,,,Program,5548,5320,2020-06-29 01:23:00,
38904815en,38904815,Shiloh Domestic Violence Shelter and Services,,,,38898805,TRI-VALLEY HAVEN,2376,,,ACTIVE,Houses and supports women and children that are vi...,925-449-5842,www.trivalleyhaven.org,en,California,,"37.729225, -121.691025",,,,,,Program,5548,5320,2020-06-29 01:23:00,
38904212en,38904212,Sister Me Home Safe House,,,,38898854,BUILDING FUTURES WITH WOMEN AND CHILDREN,2376,,,ACTIVE,"<span style=""color:#FF0000"">Note: Continue to prov...",866-292-9688 (A-Way-Out),www.bfwc.org,en,California,A Way Out,"0, -90",,,,,,Program,5548,5320,2020-06-29 01:23:00,
62807528en,62807528,Alameda County Safe Parking Program,,,,38899483,ALAMEDA COUNTY HEALTH CARE SERVICES AGENCY,2376,,,ACTIVE,"<span style=""color:#FF0000"">Note: No changes due t...",510-593-4660,,en,,,"37.688724, -122.150578",,,,,,Program,5550,5320,2020-06-29 01:23:00,
38904199en,38904199,Ariel Outreach Mission,94605,PO Box 5035,Oakland,38899055,,2376,37.762734,-122.157057,ACTIVE,Provides emergency transitional housing to clean a...,510-978-5844,http://www.arielom.org/,en,California,,"37.762734, -122.157057",,,,,,Program,"5550,5551,5556","5320, 5320, 3493",2020-06-29 01:23:00,
62826627en,62826627,Brighter Futures Home for Women,,,,62826576,TIME FOR CHANGE FOUNDATION,2376,,,ACTIVE,Offers a home for women recovering from incarcerat...,816-433-4792,www.timeforchangefoundation.org,en,,,"37.63693, -122.07016",,,,,,Program,5550,5320,2020-06-29 01:23:00,
38904215en,38904215,City of Alameda Warming Shelter - Opens December 2...,,,,38898854,BUILDING FUTURES WITH WOMEN AND CHILDREN,2376,,,ACTIVE,"<span style=""color:#FF0000"">Note: Winter shelter i...",510-201-0204,http://christchurchalameda.org/seasonal-warming-sh...,en,California,"Midway Shelter, Christ Episcopal Church","37.77115, -122.25596",,,,,,Program,5550,5320,2020-06-29 01:23:00,
